stream,verdict,optimized_instructions,original_instructions,rust_instructions,fewer_instructions_percent,original_over_rust,optimized_over_rust,original_peak_rss_kib,optimized_peak_rss_kib,rust_peak_rss_kib
bad/tutorial/100_ruleKbad.ndjson,reject,3599896,4918847,1873737,26.81423105862004,2.625153369976683,1.9212386797079846,17968,18060,30028
bad/tutorial/101_ruleKAcc.ndjson,reject,6582864,11459878,3185846,42.557294239956136,3.5971223970022406,2.066284434338634,17976,18076,49800
bad/tutorial/105_proofIrrelevanceBad.ndjson,reject,3003157,5658150,1596371,46.92334066788615,3.5443828533592754,1.8812400125033593,18088,18004,23844
bad/tutorial/110_indexedUnitEta.ndjson,reject,3796742,4884151,1986126,22.264033196352862,2.4591345161384526,1.9116319911224162,17292,18128,49756
bad/tutorial/112_indexedStructEta.ndjson,reject,4116235,9867191,2143645,58.28361891444081,4.602996764856122,1.920203671783341,18088,18028,45732
bad/tutorial/115_funEtaBad.ndjson,reject,3170889,5933718,1612300,46.56151505683284,3.680281585312907,1.9666867208335919,18184,17988,35416
bad/tutorial/116_etaRuleK.ndjson,reject,3683893,6921493,1863052,46.776035170446605,3.715136775570408,1.977343090799398,16604,18068,41564
bad/tutorial/117_etaCtor.ndjson,reject,4169949,7773497,2156705,46.35684557413479,3.6043394901017987,1.933481398707751,16524,17980,47732
bad/tutorial/118_reflOccLeft.ndjson,reject,2498454,2886107,1482207,13.431691894999043,1.9471686478339396,1.6856309543808659,18012,18068,35400
bad/tutorial/119_reflOccInIndex.ndjson,reject,2608815,5388880,1616052,51.5889201466724,3.3345956689512466,1.6143137720815914,18076,18036,43668
bad/tutorial/126_accRecNoEta.ndjson,reject,6649314,11589940,3092598,42.628572710471325,3.747638716703561,2.1500738214278092,17208,18116,39516
bad/tutorial/133_dup_defs.ndjson,reject,1008261,1017865,688738,0.9435435936985703,1.4778696688726338,1.4639253242887715,14900,18172,18032
bad/tutorial/134_dup_ind_def.ndjson,reject,1207242,1252363,776971,3.6028691361849607,1.611852952040681,1.5537799995109212,18100,18132,17860
bad/tutorial/135_dup_ctor_def.ndjson,reject,1214350,1260550,775251,3.665066835904962,1.6259895182334496,1.5663959156453846,17932,18080,18052
bad/tutorial/136_dup_rec_def.ndjson,reject,1230133,1278522,778654,3.7847608410336298,1.6419642100342386,1.5798197915890755,18088,18096,18172
bad/tutorial/137_misnamed_rec_user.ndjson,reject,1922656,2067303,1361274,6.996894020857125,1.5186531146558298,1.4123945656789154,17364,18084,43632
bad/tutorial/138_dup_rec_def2.ndjson,reject,1869021,10819315,1300722,82.72514479890825,8.317930349452073,1.4369104235955108,18108,18132,35476
bad/tutorial/139_dup_ctor_rec.ndjson,reject,1201963,1245273,767885,3.477952224130776,1.621692050241898,1.5652903755119583,18148,18072,18088
bad/tutorial/140_DupConCon.ndjson,reject,1306595,1367846,792263,4.477916373626856,1.7265049611050876,1.6491935127602828,18016,18172,18112
bad/tutorial/141_falseFromUnsafe.ndjson,reject,1147964,1181125,764561,2.8075775214308374,1.5448407648310598,1.501468162775763,17208,17948,18040
bad/tutorial/142_falseFromPartial.ndjson,reject,1148206,1181383,764051,2.8083187247488706,1.5462096116620487,1.5027871176138765,18056,18028,18036
good/cedar.ndjson,accept,609968564336,837621580640,295240628365,27.1785041796628,2.837081011778858,2.0660048304121212,3147372,3154476,1464404
good/con-leche.ndjson,accept,452757228034,633440846637,264592639241,28.52415021264687,2.3940229344779334,1.711148236522231,2570936,2591540,1163704
good/corner-cases/proof-param-ok.ndjson,accept,2448861,7432745,1297476,67.05307393163629,5.7286184869700865,1.88740369764065,16520,18024,36152
good/cslib.ndjson,accept,1519297547044,2083651705256,781107470725,27.08486052579804,2.667560845784791,1.945055711263182,6909608,6910724,3364432
good/init-prelude.ndjson,accept,1216514035,1659001050,537878525,26.671894812845352,3.0843414876992905,2.261689170431186,18016,18760,90876
good/init.ndjson,accept,227133583932,322754986181,121692660910,29.6266227767511,2.6522140593153702,1.866452604730048,999384,984484,620828
good/level-index-out-of-order.ndjson,accept,1307774,2096465,848767,37.62004135532909,2.470012382668035,1.5407927028265709,18040,18128,37416
good/mathlib.ndjson,accept,5548006192976,7560453966963,2827610926587,26.61808117317843,2.6737957106739096,1.9620825980017653,14990840,14989072,6849744
good/perf/app-lam.ndjson,accept,300988513,395721431,73466996,23.93929430625151,5.386383717118364,4.096921466613389,27740,34628,84676
good/perf/args-before-unfold.ndjson,accept,33981131,50919179,13212285,33.26457404193418,3.853926781022359,2.571934453427246,18084,18048,50788
good/perf/beta-ladder.ndjson,accept,128354402,165793445,35909184,22.581738982503197,4.617020676381841,3.5744171184730904,18144,18184,72336
good/perf/church-numerals.ndjson,accept,91717480,142512458,36418829,35.64248256808538,3.913153220824316,2.5184082662295375,20032,19288,52212
good/perf/discarded-argument-match.ndjson,accept,21807771,30627306,12363613,28.796313329027367,2.477213254733871,1.7638671640725085,18184,18088,50796
good/perf/discarded-argument.ndjson,accept,16791996,21839735,10442562,23.11263850042137,2.0914154016993147,1.6080341203624169,18060,18096,43612
good/perf/folded-constant-first.ndjson,accept,49607829,72578391,19846837,31.64931280992438,3.656924828878274,2.4995332505627976,18156,18068,54856
good/perf/folded-constant-last.ndjson,accept,49191184,72442969,19915983,32.096675938281884,3.63742874253307,2.469935026556309,18056,18064,61044
good/perf/fueled-chain.ndjson,accept,267452722,380498669,127709880,29.709945450558195,2.9793988452577045,2.0942210735770797,17920,17996,99220
good/perf/grind-ring-5.ndjson,accept,7581416905,11337451061,4084450460,33.12944096332624,2.775759229308904,1.8561657141509313,312908,316804,264956
good/perf/identical-nesting.ndjson,accept,4236427,5021874,1854595,15.640515871166816,2.7078008945349255,2.2842868658655933,18132,18112,36200
good/perf/irrelevance-before-evaluation.ndjson,accept,6583428,8038222,2473230,18.098455106116752,3.2500907719864305,2.6618745527104233,17992,18144,44380
good/perf/let-ladder.ndjson,accept,117100315,148466303,30845139,21.12667141714979,4.813280400519512,3.7963944659156827,18088,18100,58016
good/perf/magma-list-deep-n21.ndjson,accept,5034348207,8071594123,3632753351,37.628823621660686,2.221894343797964,1.385821640110573,456244,463784,374432
good/perf/magma-list-deep-n36.ndjson,accept,60632965296,98648065686,140525769802,38.53608291824322,0.7019927079922391,0.4314722159603288,6064288,6054184,3988300
good/perf/magma-list-pair-n21.ndjson,accept,76133642023,132504053576,86729867804,42.54240533152276,1.5277788025163908,0.8778249517807832,10810440,10839740,5638364
good/perf/magma-list-pair-n7.ndjson,accept,7176550214,12503616893,4331508551,42.60420584368907,2.8866656375671553,1.656824667319005,822048,827020,715488
good/perf/magma-string-n4.ndjson,accept,12232338628,17748164549,6579232560,31.07828928321933,2.6976040726853405,1.859234875260284,178160,216428,226196
good/perf/magma-string-pair-n9.ndjson,accept,23927252425,37062477373,14775013246,35.44076348649323,2.5084564565811016,1.6194403366425245,1568584,1571948,914696
good/perf/repeated-subproblem.ndjson,accept,11205193,8495286,3207944,-31.898949605698967,2.648202711768036,3.4929515602516754,17400,17308,53908
good/perf/shared-subterm.ndjson,accept,102294098,150913549,49382663,32.216756760521214,3.056002650160847,2.0714577097634446,18084,18120,61040
